,TaskId,ResourceId
0,1,41
1,2,28
2,3,37
3,4,R24
4,5,33
5,6,26
6,7,39
7,8,31
8,9,38
9,10,32
10,11,34
11,12,35
12,13,29
13,14,33
14,15,36
15,16,27
16,17,R12
17,18,42
18,19,40
19,20,32
20,21,28
21,22,31
22,23,30
23,24,36
24,25,33
25,26,28
26,27,31
27,28,29
28,29,34
29,30,33
30,31,28
31,32,42
32,33,37
33,34,R08
34,35,31
35,36,38
36,37,41
37,38,26
38,39,28
39,40,29
40,41,32
41,42,39
42,43,R51
43,44,33
44,45,R54A
45,46,36
46,47,R22
47,48,35
48,49,R50B
49,50,R46
50,51,27
51,52,30
52,53,R63
53,54,37
54,55,31
55,56,40
56,57,41
57,58,26
58,59,39
59,60,28
60,61,33
61,62,42
62,63,36
63,64,29
64,65,30
65,66,35
66,67,31
67,68,29
68,69,39
69,70,33
70,71,27
71,72,42
72,73,26
73,74,31
74,75,40
75,76,28
76,77,R62
77,78,30
78,79,37
79,80,33
80,81,30
81,82,29
82,83,26
83,84,31
84,85,26
85,86,30
86,87,31
87,88,41
88,89,R54A
89,90,33
90,91,36
91,92,30
92,93,34
93,94,42
94,95,29
95,96,33
96,97,R68
97,98,R50
98,99,31
99,100,41
100,101,27
101,102,34
102,103,39
103,104,38
104,105,40
105,106,R45B
106,107,26
107,108,33
108,109,29
109,110,37
110,111,35
111,112,28
112,113,42
113,114,32
114,115,31
115,116,30
116,117,26
117,118,39
118,119,28
119,120,39
120,121,41
121,122,37
122,123,27
123,124,26
124,125,29
125,126,31
126,127,30
127,128,38
128,129,33
129,130,32
130,131,28
131,132,35
132,133,36
133,134,R54A
134,135,27
135,136,26
136,137,37
137,138,29
138,139,40
139,140,R43
140,141,38
141,142,34
142,143,39
143,144,42
144,145,31
145,146,32
146,147,28
147,148,33
148,149,30
149,150,26
150,151,33
151,152,31
152,153,30
153,154,41
154,155,27
155,156,26
156,157,28
157,158,38
158,159,29
159,160,31
160,161,30
161,162,26
162,163,28
163,164,42
164,165,29
165,166,37
166,167,31
167,168,33
168,169,30
169,170,28
170,171,29
171,172,26
172,173,40
173,174,39
174,175,36
175,176,38
176,177,33
177,178,42
178,179,27
179,180,32
180,181,31
181,182,30
182,183,35
183,184,34
184,185,37
185,186,29
186,187,28
187,188,26
188,189,39
189,190,31
190,191,29
191,192,28
192,193,35
193,194,41
194,195,33
195,196,34
196,197,26
197,198,29
198,199,31
199,200,30
200,201,32
201,202,37
202,203,28
203,204,30
204,205,33
205,206,40
206,207,28
207,208,31
208,209,29
209,210,42
210,211,33
211,212,40
212,213,30
213,214,26
214,215,39
215,216,27
216,217,31
217,218,29
218,219,34
219,220,30
220,221,41
221,222,35
222,223,28
223,224,40
224,225,37
225,226,32
226,227,36
227,228,26
228,229,42
229,230,29
230,231,26
231,232,31
232,233,33
233,234,39
234,235,28
235,236,40
236,237,35
237,238,R25
238,239,38
239,240,33
240,241,30
241,242,37
242,243,31
243,244,29
244,245,40
245,246,34
246,247,39
247,248,36
248,249,28
249,250,41
250,251,30
251,252,38
252,253,33
253,254,37
254,255,27
255,256,26
256,257,32
257,258,35
258,259,42
259,260,29
260,261,R63
261,262,28
262,263,31
263,264,30
264,265,40
265,266,28
266,267,31
267,268,26
268,269,29
269,270,33
270,271,36
271,272,35
272,273,30
273,274,28
274,275,39
275,276,30
276,277,29
277,278,33
278,279,31
279,280,26
280,281,28
281,282,37
282,283,35
283,284,30
284,285,32
285,286,42
286,287,26
287,288,28
288,289,41
289,290,33
290,291,36
291,292,38
292,293,37
293,294,30
294,295,31
295,296,34
296,297,35
297,298,27
298,299,29
299,300,26
300,301,40
301,302,28
302,303,32
303,304,33
304,305,31
305,306,30
306,307,R64
307,308,29
308,309,26
309,310,30
310,311,34
311,312,31
312,313,35
313,314,40
314,315,28
315,316,32
316,317,26
317,318,29
318,319,33
319,320,31
320,321,30
